cluster_id,normalized_surface_id,broken_invariant_id,trigger_precondition,environment_scope,atomic_finding_count,candidate_count
CS-0111,cli:gpd.verify.phase,resume-session-continuity,gpd verify phase 01,product_local_or_unknown,12,4
CS-0112,runtime:gpd.resume,state-projection-parity,gpd:resume,product_local_or_unknown,12,1
CS-0113,unknown,state-projection-parity,GPD/PROJECT.md,product_local_or_unknown,12,6
CS-0114,cli:gpd.approximation.list,unknown,gpd approximation list,product_local_or_unknown,11,2
CS-0115,cli:gpd.convention.list,unknown,gpd convention list,product_local_or_unknown,11,5
CS-0116,cli:gpd.observe.event,unknown,gpd observe event,product_local_or_unknown,11,4
CS-0117,cli:gpd.query.deps,registry-query-visibility,gpd query deps modular-bootstrap-comparison,product_local_or_unknown,11,1
CS-0118,cli:gpd.result.deps,mutation-ordering-durability,gpd result deps R-01-farrelly-parallel,product_local_or_unknown,11,3
CS-0119,unknown,registry-query-visibility,GPD/state.json.bak,product_local_or_unknown,11,2
CS-0120,cli:gpd.history-digest,unknown,gpd history-digest,product_local_or_unknown,10,1
CS-0121,cli:gpd.progress,state-projection-parity,gpd progress --reconcile,product_local_or_unknown,10,3
CS-0122,cli:gpd.result.list,unknown,gpd result list,product_local_or_unknown,10,5
CS-0123,cli:gpd.suggest,mutation-ordering-durability,gpd suggest,product_local_or_unknown,10,8
CS-0124,cli:gpd.validate.unattended-readiness,state-projection-parity,gpd validate unattended-readiness --runtime codex --local,runtime_boundary,10,3
CS-0125,raw:gpd.progress,state-projection-parity,gpd progress --raw,product_local_or_unknown,10,2
CS-0126,raw:gpd.state.update,resume-session-continuity,"gpd --raw state update current_focus ""Session 4 stale-state probe""",product_local_or_unknown,10,2
CS-0127,raw:gpd.state.validate,validation-contract-precision,gpd --raw state validate,product_local_or_unknown,10,4
CS-0128,unknown,state-projection-parity,GPD/state.json.bak,product_local_or_unknown,10,2
CS-0129,unknown,unknown,GPD/config.json,product_local_or_unknown,10,4
CS-0130,unknown:runtime-bridge,resume-session-continuity,GPD/config.json,runtime_boundary,10,5
CS-0131,cli:gpd.init.execute-phase,unknown,gpd init execute-phase 01 --stage phase_bootstrap,product_local_or_unknown,9,3
CS-0132,cli:gpd.phase.add,mutation-ordering-durability,gpd phase add,product_local_or_unknown,9,8
CS-0133,cli:gpd.result.search,unknown,gpd result search crossed-product,product_local_or_unknown,9,1
CS-0134,cli:gpd.state.patch,unknown,gpd state patch Status ...,product_local_or_unknown,9,3
CS-0135,cli:gpd.suggest,interface-contract-parity,gpd suggest,product_local_or_unknown,9,7
CS-0136,cli:gpd.validate.plan-contract,state-projection-parity,gpd validate plan-contract,product_local_or_unknown,9,3
CS-0137,cli:gpd.validate.summary-contract,state-projection-parity,gpd validate summary-contract,product_local_or_unknown,9,4
CS-0138,cli:gpd.verify.phase,unknown,gpd verify phase 1,product_local_or_unknown,9,3
CS-0139,raw:gpd.health,runtime-bridge-parity,gpd --raw health,runtime_boundary,9,2
CS-0140,raw:gpd.resume,resume-session-continuity,gpd resume --raw,runtime_boundary,9,5
CS-0141,unknown,resume-session-continuity,GPD/phases,product_local_or_unknown,9,1
CS-0142,unknown,runtime-bridge-parity,GPD/phases/01-literature-anchor-inventory-and-saddle-taxonomy/,runtime_boundary,9,1
CS-0143,unknown,state-projection-parity,GPD/,product_local_or_unknown,9,2
CS-0144,unknown,validation-contract-precision,GPD/PROJECT.md,product_local_or_unknown,9,2
CS-0145,cli:gpd.calculation.list,unknown,gpd calculation list,product_local_or_unknown,8,1
CS-0146,cli:gpd.init.execute-phase,validation-contract-precision,gpd init execute-phase 01 --stage phase_bootstrap,product_local_or_unknown,8,3
CS-0147,cli:gpd.init.new-project,runtime-bridge-parity,gpd init new-project,runtime_boundary,8,5
CS-0148,cli:gpd.init.plan-phase,unknown,gpd init plan-phase 1 --stage phase_bootstrap,product_local_or_unknown,8,2
CS-0149,cli:gpd.observe.event,resume-session-continuity,gpd observe event,product_local_or_unknown,8,4
CS-0150,cli:gpd.observe.sessions,state-projection-parity,gpd observe sessions --last 5,product_local_or_unknown,8,2
CS-0151,cli:gpd.observe.sessions,unknown,gpd observe sessions,product_local_or_unknown,8,2
CS-0152,cli:gpd.phase.add,validation-contract-precision,gpd phase add,product_local_or_unknown,8,8
CS-0153,cli:gpd.progress.json,state-projection-parity,gpd progress json,product_local_or_unknown,8,2
CS-0154,cli:gpd.result,unknown,gpd result *,product_local_or_unknown,8,1
CS-0155,cli:gpd.roadmap.analyze,state-projection-parity,gpd roadmap analyze,runtime_boundary,8,6
CS-0156,cli:gpd.state.compact,unknown,gpd state compact,product_local_or_unknown,8,2
CS-0157,cli:gpd.state.record-session,resume-session-continuity,"gpd state record-session --stopped-at ""Session 5 deeper state, dependency, and readiness audit complete; phase 01 still ready to plan"" --resume-file HANDOFF.md --last-result-id R-CRIT-01",product_local_or_unknown,8,1
CS-0158,cli:gpd.state.record-session,state-projection-parity,gpd state record-session,product_local_or_unknown,8,3
CS-0159,cli:gpd.state.set-project-contract,validation-contract-precision,gpd state set-project-contract GPD/project_contract.json,product_local_or_unknown,8,1
CS-0160,cli:gpd.state.validate,mutation-ordering-durability,gpd state validate,product_local_or_unknown,8,8
CS-0161,cli:gpd.validate.command-context,state-projection-parity,gpd validate command-context progress,product_local_or_unknown,8,3
CS-0162,cli:gpd.validate.plan-contract,validation-contract-precision,gpd validate plan-contract ...01-01-PLAN.md,product_local_or_unknown,8,1
CS-0163,cli:gpd.validate.review-preflight,state-projection-parity,gpd validate review-preflight verify-work 01 --strict,product_local_or_unknown,8,5
CS-0164,cli:gpd.validate.unattended-readiness,resume-session-continuity,gpd validate unattended-readiness --runtime codex --local,runtime_boundary,8,3
CS-0165,raw:gpd.resume,state-projection-parity,gpd --raw resume,runtime_boundary,8,5
CS-0166,runtime:gpd.execute-phase,runtime-bridge-parity,gpd:execute-phase,runtime_boundary,8,2
CS-0167,unknown,unknown,GPD/phases/01-map-the-quantum-information-derivations-of-rt/01-01-PLAN.md,product_local_or_unknown,8,1
CS-0168,unknown:runtime-bridge,runtime-bridge-parity,GPD tools still return `user cancelled MCP tool call,runtime_boundary,8,1
CS-0169,cli:gpd.convention.list,state-projection-parity,gpd convention list,product_local_or_unknown,7,5
CS-0170,cli:gpd.health,state-projection-parity,gpd health --fix,product_local_or_unknown,7,6
CS-0171,cli:gpd.init.new-project,registry-query-visibility,gpd init new-project,product_local_or_unknown,7,5
CS-0172,cli:gpd.init.new-project,state-projection-parity,gpd init new-project --stage post_scope,product_local_or_unknown,7,2
CS-0173,cli:gpd.init.new-project,validation-contract-precision,gpd init new-project,product_local_or_unknown,7,5
CS-0174,cli:gpd.init.phase-op,state-projection-parity,gpd init phase-op 01,product_local_or_unknown,7,2
CS-0175,cli:gpd.init.plan-phase,unknown,gpd init plan-phase 1,product_local_or_unknown,7,2
CS-0176,cli:gpd.init.plan-phase,validation-contract-precision,gpd init plan-phase 1 --stage phase_bootstrap,product_local_or_unknown,7,2
CS-0177,cli:gpd.phase.add,registry-query-visibility,gpd phase add,product_local_or_unknown,7,4
CS-0178,cli:gpd.phase.list,state-projection-parity,gpd phase list,product_local_or_unknown,7,1
CS-0179,cli:gpd.state.record-session,resume-session-continuity,gpd state record-session --resume-file HANDOFF.md --last-result-id rst-qfc-exact,product_local_or_unknown,7,1
CS-0180,cli:gpd.validate.consistency,validation-contract-precision,gpd validate consistency,product_local_or_unknown,7,3
CS-0181,cli:gpd.validate.project-contract,resume-session-continuity,gpd validate project-contract,product_local_or_unknown,7,2
CS-0182,raw:gpd.progress,state-projection-parity,gpd --raw progress,product_local_or_unknown,7,2
CS-0183,raw:gpd.resume,resume-session-continuity,gpd --raw resume --recent,product_local_or_unknown,7,1
CS-0184,raw:gpd.roadmap.analyze,state-projection-parity,gpd roadmap analyze --raw,product_local_or_unknown,7,1
CS-0185,runtime:gpd.add-phase,state-projection-parity,gpd:add-phase,product_local_or_unknown,7,1
CS-0186,unknown,mutation-ordering-durability,Git Status.uncommitted_files = 1,product_local_or_unknown,7,1
CS-0187,unknown,resume-session-continuity,GPD artifacts as the source draft,product_local_or_unknown,7,1
CS-0188,unknown,unknown,GPD/PROJECT.md,product_local_or_unknown,7,3
CS-0189,unknown,unknown,GPD/STATE.md,product_local_or_unknown,7,2
CS-0190,unknown:runtime-bridge,state-projection-parity,GPD MCP tool failure is broader than it first looked,runtime_boundary,7,1
CS-0191,cli:gpd.convention.list,validation-contract-precision,gpd convention list,product_local_or_unknown,6,4
CS-0192,cli:gpd.convention.set,state-projection-parity,gpd convention set,product_local_or_unknown,6,3
CS-0193,cli:gpd.frontmatter.validate,validation-contract-precision,gpd frontmatter validate --schema verification GPD/phases/01-core-holographic-constructions-and-anchor-papers/01-VERIFICATION.md,product_local_or_unknown,6,1
CS-0194,cli:gpd.health,resume-session-continuity,gpd health,runtime_boundary,6,6
CS-0195,cli:gpd.init.execute-phase,state-projection-parity,gpd init execute-phase 01 --stage phase_bootstrap,product_local_or_unknown,6,3
CS-0196,cli:gpd.init.plan-phase,registry-query-visibility,gpd init plan-phase 01 --stage phase_bootstrap,product_local_or_unknown,6,5
CS-0197,cli:gpd.init.plan-phase,state-projection-parity,gpd init plan-phase 1 --stage phase_bootstrap,product_local_or_unknown,6,2
CS-0198,cli:gpd.observe.sessions,registry-query-visibility,gpd observe sessions --last 5,product_local_or_unknown,6,4
CS-0199,cli:gpd.phase.add,runtime-bridge-parity,gpd phase add,environment_or_sandbox,6,6
CS-0200,cli:gpd.phase.complete,unknown,gpd phase complete 01,product_local_or_unknown,6,1
CS-0201,cli:gpd.progress,state-projection-parity,gpd progress,runtime_boundary,6,5
CS-0202,cli:gpd.result.list,state-projection-parity,gpd result list,product_local_or_unknown,6,4
CS-0203,cli:gpd.result.show,unknown,gpd result show,product_local_or_unknown,6,2
CS-0204,cli:gpd.resume,mutation-ordering-durability,gpd resume,product_local_or_unknown,6,6
CS-0205,cli:gpd.resume,resume-session-continuity,gpd resume,environment_or_sandbox,6,6
CS-0206,cli:gpd.resume,resume-session-continuity,gpd resume --recent,product_local_or_unknown,6,5
CS-0207,cli:gpd.state.load,registry-query-visibility,gpd state load,product_local_or_unknown,6,4
CS-0208,cli:gpd.state.snapshot,registry-query-visibility,gpd state snapshot,product_local_or_unknown,6,6
CS-0209,cli:gpd.summary-extract.SUMMARY,state-projection-parity,gpd summary-extract SUMMARY.md,product_local_or_unknown,6,2
CS-0210,cli:gpd.validate.project-contract,state-projection-parity,gpd validate project-contract,product_local_or_unknown,6,2
CS-0211,cli:gpd.verify.phase,runtime-bridge-parity,gpd verify phase 01,runtime_boundary,6,3
CS-0212,raw:gpd.health,resume-session-continuity,gpd --raw health,product_local_or_unknown,6,2
CS-0213,raw:gpd.health,state-projection-parity,gpd health --raw,product_local_or_unknown,6,3
CS-0214,raw:gpd.resume,mutation-ordering-durability,gpd --raw resume,product_local_or_unknown,6,6
CS-0215,raw:gpd.resume,registry-query-visibility,gpd --raw resume,product_local_or_unknown,6,4
CS-0216,raw:gpd.state.snapshot,state-projection-parity,gpd --raw state snapshot,runtime_boundary,6,1
CS-0217,runtime:gpd.execute-phase,validation-contract-precision,gpd:execute-phase,product_local_or_unknown,6,2
CS-0218,runtime:gpd.new-project,state-projection-parity,GPD sources and command metadata say the public runtime command `gpd:new-project` should create `GPD/PROJECT,runtime_boundary,6,1
CS-0219,unknown,artifact-provenance-propagation,unknown,product_local_or_unknown,6,4
CS-0220,unknown,citation-reference-propagation,GPD/state.json,product_local_or_unknown,6,2
CS-0221,unknown,citation-reference-propagation,unknown,product_local_or_unknown,6,6
CS-0222,unknown,mutation-ordering-durability,GPD/state.json,product_local_or_unknown,6,6
CS-0223,unknown,registry-query-visibility,GPD/STATE.md,product_local_or_unknown,6,4
CS-0224,unknown,resume-session-continuity,GPD/CHECKPOINTS.md,product_local_or_unknown,6,2
CS-0225,unknown,runtime-bridge-parity,GPD runtime claims on 2026-04-09,runtime_boundary,6,1
CS-0226,unknown,unknown,GPD command observations:,product_local_or_unknown,6,1
CS-0227,unknown,validation-contract-precision,GPD/state.json.bak,product_local_or_unknown,6,1
CS-0228,unknown:runtime-bridge,state-projection-parity,GPD/config.json,runtime_boundary,6,2
CS-0229,cli:gpd.calculation.list,resume-session-continuity,gpd calculation list,product_local_or_unknown,5,1
CS-0230,cli:gpd.convention.set,validation-contract-precision,gpd convention set,product_local_or_unknown,5,4
CS-0231,cli:gpd.health,interface-contract-parity,gpd health,product_local_or_unknown,5,5
CS-0232,cli:gpd.history-digest,registry-query-visibility,gpd history-digest,product_local_or_unknown,5,1
CS-0233,cli:gpd.init.plan-phase,runtime-bridge-parity,gpd init plan-phase 01 --stage phase_bootstrap,runtime_boundary,5,2
CS-0234,cli:gpd.phase.add,runtime-bridge-parity,gpd phase add,runtime_boundary,5,4
CS-0235,cli:gpd.query.deps,registry-query-visibility,gpd query deps lit-filter-constraints,product_local_or_unknown,5,2
CS-0236,cli:gpd.query.deps,registry-query-visibility,gpd query deps openclosed-vtqft,product_local_or_unknown,5,3
CS-0237,cli:gpd.query.deps,registry-query-visibility,gpd query deps r-loop-universality-4d,product_local_or_unknown,5,2
CS-0238,cli:gpd.query.search,registry-query-visibility,gpd query search --text singularity,product_local_or_unknown,5,1
CS-0239,cli:gpd.result.add,unknown,gpd result add --verified,product_local_or_unknown,5,2
CS-0240,cli:gpd.result.deps,unknown,gpd result deps,product_local_or_unknown,5,2
CS-0241,cli:gpd.result.deps,unknown,gpd result deps minimax_conditional_hrt,product_local_or_unknown,5,1
CS-0242,cli:gpd.root,resume-session-continuity,gpd,product_local_or_unknown,5,2
CS-0243,cli:gpd.state.patch,state-projection-parity,gpd state patch Status ...,product_local_or_unknown,5,3
CS-0244,cli:gpd.state.patch,validation-contract-precision,gpd state patch,product_local_or_unknown,5,5
CS-0245,cli:gpd.state.record-session,resume-session-continuity,"gpd state record-session --stopped-at ""Session 3 validation and dependency audit complete; phase 01 still ready to plan"" --resume-file HANDOFF.md --last-result-id R-CRIT-01",product_local_or_unknown,5,1
CS-0246,cli:gpd.state.set-project-contract,resume-session-continuity,gpd state set-project-contract -,product_local_or_unknown,5,2
CS-0247,cli:gpd.state.set-project-contract,state-projection-parity,gpd state set-project-contract GPD/project_contract.json,product_local_or_unknown,5,1
CS-0248,cli:gpd.state.set-project-contract,validation-contract-precision,gpd state set-project-contract,product_local_or_unknown,5,1
CS-0249,cli:gpd.state.update,unknown,"gpd state update ""Core research question"" ...",product_local_or_unknown,5,1
CS-0250,cli:gpd.verify.phase,state-projection-parity,gpd verify phase 1,product_local_or_unknown,5,1
CS-0251,cli:gpd.verify.references,resume-session-continuity,gpd verify references HANDOFF.md,product_local_or_unknown,5,1
CS-0252,raw:gpd.init.sync-state,unknown,gpd --raw init sync-state,product_local_or_unknown,5,2
CS-0253,raw:gpd.state.validate,mutation-ordering-durability,gpd --raw state validate,product_local_or_unknown,5,1
CS-0254,runtime:gpd.main,runtime-bridge-parity,gpd-main,runtime_boundary,5,1
CS-0255,runtime:gpd.main,state-projection-parity,gpd-main,environment_or_sandbox,5,3
CS-0256,unknown,interface-contract-parity,unknown,product_local_or_unknown,5,5
CS-0257,unknown,interface-contract-parity,unknown,runtime_boundary,5,4
CS-0258,unknown,placeholder-sentinel-normalization,GPD/phases/02-bootstrap-command-surface-placeholder-phase/,product_local_or_unknown,5,1
CS-0259,unknown,runtime-bridge-parity,GPD/phases/01-fix-the-ds3-saddle-dictionary/01-01-PLAN.md,runtime_boundary,5,1
CS-0260,unknown,state-projection-parity,GPD/ROADMAP.md,runtime_boundary,5,1
CS-0261,unknown,state-projection-parity,GPD/phase-checkpoints/,product_local_or_unknown,5,1
CS-0262,unknown,state-projection-parity,Git Status,product_local_or_unknown,5,1
CS-0263,unknown,state-projection-parity,unknown,runtime_boundary,5,2
CS-0264,unknown,unknown,GPD ledger carried one genuinely stale value set: both propagated uncertainties were tagged as last updated in phase `03` even though the workspace remains at phase `01,product_local_or_unknown,5,1
CS-0265,unknown,unknown,GPD tools are still unusable here,product_local_or_unknown,5,1
CS-0266,unknown,unknown,GPD uncertainty tags that had incorrectly pointed to phase `03` instead of the bootstrap literature audit stage,product_local_or_unknown,5,1
CS-0267,unknown,validation-contract-precision,GPD/phases,product_local_or_unknown,5,1
CS-0268,unknown:runtime-bridge,registry-query-visibility,GPD/config.json,runtime_boundary,5,3
CS-0269,unknown:runtime-bridge,runtime-bridge-parity,"GPD MCP state and convention tools all return `""user cancelled MCP tool call""",runtime_boundary,5,1
CS-0270,unknown:runtime-bridge,runtime-bridge-parity,GPD interface in this sandbox,environment_or_sandbox,5,1
CS-0271,unknown:runtime-bridge,runtime-bridge-parity,GPD/state.json,runtime_boundary,5,3
CS-0272,cli:gpd.calculation.list,registry-query-visibility,gpd calculation list,product_local_or_unknown,4,2
CS-0273,cli:gpd.calculation.list,validation-contract-precision,gpd calculation list,product_local_or_unknown,4,1
CS-0274,cli:gpd.convention.set,mutation-ordering-durability,gpd convention set,product_local_or_unknown,4,4
CS-0275,cli:gpd.convention.set,resume-session-continuity,gpd convention set,product_local_or_unknown,4,1
CS-0276,cli:gpd.convention.set,resume-session-continuity,gpd convention set --force coordinate_system ...,product_local_or_unknown,4,1
