candidate_id,finding_count,split_decision
VF-03-shahbazi-r01-003,1,single
VF-03-shahbazi-r01-004,1,single
VF-03-shahbazi-r01-005,1,single
VF-03-shahbazi-r01-006,1,single
VF-03-shahbazi-r01-007,1,single
VF-03-shahbazi-r01-008,1,single
VF-03-shahbazi-r01-009,1,single
VF-03-shahbazi-r01-010,1,single
VF-03-shahbazi-r01-011,1,single
VF-03-shahbazi-r01-012,1,single
VF-03-shahbazi-r01-013,1,single
VF-03-shahbazi-r01-014,1,single
VF-03-shahbazi-r01-015,1,single
VF-03-shahbazi-r01-016,1,single
VF-03-shahbazi-r01-017,1,single
VF-03-shahbazi-r02-001,38,split
VF-03-shahbazi-r02-002,9,split
VF-03-shahbazi-r02-003,20,split
VF-03-shahbazi-r02-004,21,split
VF-03-shahbazi-r02-005,11,split
VF-03-shahbazi-r02-006,3,split
VF-03-shahbazi-r02-007,3,split
VF-03-shahbazi-r02-008,10,split
VF-03-shahbazi-r02-009,8,split
VF-03-shahbazi-r02-010,3,split
VF-03-shahbazi-r02-011,8,split
VF-03-shahbazi-r02-012,9,split
VF-03-shahbazi-r02-013,16,split
VF-03-shahbazi-r02-014,25,split
VF-03-shahbazi-r02-015,20,split
VF-03-shahbazi-r02-016,3,split
VF-03-shahbazi-r02-017,5,split
VF-03-shahbazi-r02-018,5,split
VF-03-shahbazi-r02-019,6,split
VF-03-shahbazi-r02-020,1,single
VF-03-shahbazi-r02-021,1,single
VF-03-shahbazi-r02-022,1,single
VF-03-shahbazi-r03-001,4,split
VF-03-shahbazi-r03-002,8,split
VF-03-shahbazi-r03-003,6,split
VF-03-shahbazi-r03-004,5,split
VF-03-shahbazi-r03-005,4,split
VF-03-shahbazi-r03-006,7,split
VF-03-shahbazi-r03-007,9,split
VF-03-shahbazi-r03-008,9,split
VF-03-shahbazi-r03-009,2,split
VF-03-shahbazi-r03-010,1,single
VF-03-shahbazi-r03-011,9,split
VF-03-shahbazi-r03-012,3,split
VF-03-shahbazi-r03-013,11,split
VF-03-shahbazi-r03-014,11,split
VF-03-shahbazi-r03-015,3,split
VF-03-shahbazi-r03-016,1,single
VF-03-shahbazi-r03-017,1,single
VF-03-shahbazi-r03-018,1,single
VF-03-shahbazi-r03-019,4,split
VF-03-shahbazi-r03-020,1,single
VF-03-shahbazi-r03-021,5,split
VF-03-shahbazi-r03-022,5,split
VF-04-wang-r01-001,30,split
VF-04-wang-r01-002,12,split
VF-04-wang-r01-003,4,split
VF-04-wang-r01-004,8,split
VF-04-wang-r01-005,6,split
VF-04-wang-r01-006,11,split
VF-04-wang-r01-007,23,split
VF-04-wang-r01-008,25,split
VF-04-wang-r01-009,6,split
VF-04-wang-r01-010,3,split
VF-04-wang-r01-011,3,split
VF-04-wang-r02-001,1,single
VF-04-wang-r02-002,3,split
VF-04-wang-r02-003,1,single
VF-04-wang-r02-004,1,single
VF-04-wang-r02-005,1,single
VF-04-wang-r02-006,1,single
VF-04-wang-r02-007,4,split
VF-04-wang-r02-008,1,single
VF-04-wang-r02-009,1,single
VF-04-wang-r02-010,2,split
VF-04-wang-r02-011,1,single
VF-04-wang-r02-012,3,split
VF-04-wang-r02-013,3,split
VF-04-wang-r02-014,1,single
VF-04-wang-r02-015,1,single
VF-04-wang-r02-016,2,split
VF-04-wang-r02-017,1,single
VF-04-wang-r02-018,1,single
VF-04-wang-r02-019,2,split
VF-04-wang-r02-020,1,single
VF-04-wang-r02-021,3,split
VF-04-wang-r02-022,1,single
VF-04-wang-r02-023,1,single
VF-04-wang-r02-024,2,split
VF-04-wang-r02-025,2,split
VF-04-wang-r02-026,1,single
VF-04-wang-r02-027,1,single
VF-04-wang-r02-028,3,split
VF-04-wang-r02-029,2,split
VF-04-wang-r02-030,1,single
VF-04-wang-r02-031,2,split
VF-04-wang-r02-032,1,single
VF-04-wang-r02-033,1,single
VF-04-wang-r02-034,1,single
VF-04-wang-r02-035,1,single
VF-04-wang-r02-036,1,single
VF-04-wang-r02-037,1,single
VF-04-wang-r02-038,4,split
VF-04-wang-r02-039,22,split
VF-04-wang-r02-040,1,single
VF-04-wang-r02-041,1,single
VF-04-wang-r02-042,1,single
VF-04-wang-r02-043,3,split
VF-04-wang-r02-044,1,single
VF-04-wang-r02-045,1,single
VF-04-wang-r02-046,4,split
VF-04-wang-r02-047,1,single
VF-04-wang-r02-048,1,single
VF-04-wang-r02-049,1,single
VF-04-wang-r02-050,2,split
VF-04-wang-r02-051,1,single
VF-04-wang-r02-052,1,single
VF-04-wang-r02-053,4,split
VF-04-wang-r02-054,1,single
VF-04-wang-r02-055,1,single
VF-04-wang-r02-056,1,single
VF-04-wang-r02-057,1,single
VF-04-wang-r02-058,4,split
VF-04-wang-r02-059,3,split
VF-04-wang-r02-060,1,single
VF-04-wang-r02-061,31,split
VF-04-wang-r02-062,25,split
VF-04-wang-r02-063,1,single
VF-04-wang-r02-064,6,split
VF-04-wang-r02-065,1,single
VF-04-wang-r03-001,17,split
VF-04-wang-r03-002,19,split
VF-04-wang-r03-003,1,single
VF-04-wang-r03-004,4,split
VF-04-wang-r03-005,1,single
VF-04-wang-r03-006,3,split
VF-04-wang-r03-007,3,split
VF-04-wang-r03-008,3,split
VF-04-wang-r03-009,4,split
VF-04-wang-r03-010,4,split
VF-04-wang-r03-011,2,split
VF-04-wang-r03-012,5,split
VF-04-wang-r03-013,5,split
VF-04-wang-r03-014,8,split
VF-04-wang-r03-015,1,single
VF-04-wang-r03-016,3,split
VF-04-wang-r03-017,4,split
VF-04-wang-r03-018,5,split
VF-04-wang-r03-019,4,split
VF-05-silverstein-r01-001,16,split
VF-05-silverstein-r01-002,1,single
VF-05-silverstein-r01-003,1,single
VF-05-silverstein-r01-004,1,single
VF-05-silverstein-r01-005,1,single
VF-05-silverstein-r01-006,1,single
VF-05-silverstein-r01-007,1,single
VF-05-silverstein-r01-008,1,single
VF-05-silverstein-r01-009,1,single
VF-05-silverstein-r01-010,1,single
VF-05-silverstein-r01-011,5,split
VF-05-silverstein-r01-012,10,split
VF-05-silverstein-r01-013,8,split
VF-05-silverstein-r01-014,8,split
VF-05-silverstein-r01-015,3,split
VF-05-silverstein-r01-016,1,single
VF-05-silverstein-r01-017,1,single
VF-05-silverstein-r01-018,1,single
VF-05-silverstein-r01-019,1,single
VF-05-silverstein-r01-020,1,single
VF-05-silverstein-r01-021,4,split
VF-05-silverstein-r01-022,1,single
VF-05-silverstein-r01-023,1,single
VF-05-silverstein-r01-024,1,single
VF-05-silverstein-r02-001,1,single
VF-05-silverstein-r02-002,1,single
VF-05-silverstein-r02-003,1,single
VF-05-silverstein-r02-004,1,single
VF-05-silverstein-r02-005,4,split
VF-05-silverstein-r02-006,1,single
VF-05-silverstein-r02-007,1,single
VF-05-silverstein-r02-008,1,single
VF-05-silverstein-r02-009,1,single
VF-05-silverstein-r02-010,1,single
VF-05-silverstein-r02-011,3,split
VF-05-silverstein-r02-012,1,single
VF-05-silverstein-r02-013,1,single
VF-05-silverstein-r02-014,1,single
VF-05-silverstein-r02-015,1,single
VF-05-silverstein-r02-016,1,single
VF-05-silverstein-r02-017,1,single
VF-05-silverstein-r02-018,1,single
VF-05-silverstein-r02-019,1,single
VF-05-silverstein-r02-020,4,split
VF-05-silverstein-r02-021,5,split
VF-05-silverstein-r02-022,1,single
VF-05-silverstein-r02-023,4,split
VF-05-silverstein-r02-024,1,single
VF-05-silverstein-r02-025,1,single
VF-05-silverstein-r02-026,1,single
VF-05-silverstein-r02-027,1,single
VF-05-silverstein-r03-001,1,single
VF-05-silverstein-r03-002,1,single
VF-05-silverstein-r03-003,1,single
VF-05-silverstein-r03-004,1,single
VF-05-silverstein-r03-005,1,single
VF-05-silverstein-r03-006,1,single
VF-05-silverstein-r03-007,1,single
VF-05-silverstein-r03-008,1,single
VF-05-silverstein-r03-009,4,split
VF-05-silverstein-r03-010,1,single
VF-05-silverstein-r03-011,4,split
VF-05-silverstein-r03-012,4,split
VF-05-silverstein-r03-013,7,split
VF-05-silverstein-r03-014,4,split
VF-05-silverstein-r03-015,1,single
VF-05-silverstein-r03-016,1,single
VF-05-silverstein-r03-017,1,single
VF-05-silverstein-r03-018,1,single
VF-05-silverstein-r03-019,1,single
VF-05-silverstein-r03-020,8,split
VF-05-silverstein-r03-021,1,single
VF-06-chen-r01-001,22,split
VF-06-chen-r01-002,17,split
VF-06-chen-r01-003,2,split
VF-06-chen-r01-004,4,split
VF-06-chen-r01-005,7,split
VF-06-chen-r01-006,9,split
VF-06-chen-r01-007,10,split
VF-06-chen-r01-008,11,split
VF-06-chen-r01-009,10,split
VF-06-chen-r01-010,7,split
VF-06-chen-r01-011,3,split
VF-06-chen-r01-012,4,split
VF-06-chen-r02-001,21,split
VF-06-chen-r02-002,1,single
VF-06-chen-r02-003,4,split
VF-06-chen-r02-004,1,single
VF-06-chen-r02-005,1,single
VF-06-chen-r02-006,1,single
VF-06-chen-r02-007,1,single
VF-06-chen-r02-008,1,single
VF-06-chen-r02-009,1,single
VF-06-chen-r02-010,1,single
VF-06-chen-r02-011,2,split
VF-06-chen-r02-012,1,single
VF-06-chen-r02-013,27,split
VF-06-chen-r02-014,13,split
VF-06-chen-r02-015,22,split
VF-06-chen-r02-016,17,split
VF-06-chen-r03-001,31,split
VF-06-chen-r03-002,9,split
VF-06-chen-r03-003,6,split
VF-06-chen-r03-004,6,split
VF-06-chen-r03-005,11,split
VF-06-chen-r03-006,2,split
VF-06-chen-r03-007,15,split
VF-06-chen-r03-008,6,split
VF-06-chen-r03-009,18,split
VF-06-chen-r03-010,2,split
VF-06-chen-r03-011,25,split
VF-06-chen-r03-012,8,split
VF-06-chen-r03-013,9,split
VF-06-chen-r03-014,5,split
VF-06-chen-r03-015,5,split
VF-06-chen-r03-016,1,single
VF-06-chen-r03-017,4,split
VF-06-chen-r03-018,3,split
VF-06-chen-r03-019,1,single
VF-07-maxfield-r01-001,1,single
VF-07-maxfield-r01-002,12,split
VF-07-maxfield-r01-003,1,single
VF-07-maxfield-r01-004,3,split
VF-07-maxfield-r01-005,4,split
VF-07-maxfield-r01-006,10,split
VF-07-maxfield-r01-007,12,split
VF-07-maxfield-r01-008,1,single
VF-07-maxfield-r01-009,11,split
VF-07-maxfield-r02-001,17,split
VF-07-maxfield-r02-002,1,single
VF-07-maxfield-r02-003,1,single
VF-07-maxfield-r02-004,7,split
VF-07-maxfield-r02-005,2,split
VF-07-maxfield-r02-006,1,single
VF-07-maxfield-r02-007,6,split
VF-07-maxfield-r02-008,3,split
VF-07-maxfield-r02-009,1,single
VF-07-maxfield-r02-010,3,split
VF-07-maxfield-r02-011,5,split
VF-07-maxfield-r02-012,1,single
VF-07-maxfield-r02-013,4,split
VF-07-maxfield-r02-014,12,split
VF-07-maxfield-r02-015,1,single
VF-07-maxfield-r02-016,5,split
VF-07-maxfield-r02-017,1,single
VF-07-maxfield-r02-018,2,split
VF-07-maxfield-r02-019,5,split
VF-07-maxfield-r02-020,4,split
VF-07-maxfield-r02-021,1,single
VF-07-maxfield-r02-022,1,single
VF-07-maxfield-r02-023,5,split
VF-07-maxfield-r02-024,1,single
VF-07-maxfield-r02-025,1,single
VF-07-maxfield-r02-026,2,split
VF-07-maxfield-r02-027,3,split
VF-07-maxfield-r02-028,4,split
VF-07-maxfield-r02-029,1,single
VF-07-maxfield-r02-030,8,split
VF-07-maxfield-r02-031,3,split
VF-07-maxfield-r02-032,2,split
VF-07-maxfield-r02-033,3,split
VF-07-maxfield-r02-034,3,split
VF-07-maxfield-r02-035,4,split
VF-07-maxfield-r02-036,2,split
VF-07-maxfield-r02-037,5,split
VF-07-maxfield-r02-038,1,single
VF-07-maxfield-r02-039,3,split
VF-07-maxfield-r02-040,1,single
VF-07-maxfield-r02-041,3,split
VF-07-maxfield-r02-042,3,split
VF-07-maxfield-r02-043,1,single
VF-07-maxfield-r02-044,1,single
VF-07-maxfield-r02-045,1,single
VF-07-maxfield-r02-046,5,split
VF-07-maxfield-r02-047,1,single
VF-07-maxfield-r03-001,5,split
VF-07-maxfield-r03-002,5,split
VF-07-maxfield-r03-003,4,split
VF-07-maxfield-r03-004,12,split
VF-07-maxfield-r03-005,11,split
VF-07-maxfield-r03-006,23,split
VF-07-maxfield-r03-007,2,split
VF-07-maxfield-r03-008,7,split
VF-07-maxfield-r03-009,3,split
VF-07-maxfield-r03-010,10,split
VF-07-maxfield-r03-011,9,split
VF-08-liu-r01-001,1,single
VF-08-liu-r01-002,1,single
VF-08-liu-r01-003,6,split
VF-08-liu-r01-004,9,split
VF-08-liu-r01-005,4,split
VF-08-liu-r01-006,7,split
VF-08-liu-r01-007,14,split
VF-08-liu-r01-008,32,split
VF-08-liu-r01-009,45,split
VF-08-liu-r01-010,3,split
VF-08-liu-r01-011,1,single
VF-08-liu-r01-012,1,single
VF-08-liu-r01-013,1,single
VF-08-liu-r01-014,1,single
VF-08-liu-r01-015,4,split
VF-08-liu-r02-001,29,split
VF-08-liu-r02-002,1,single
VF-08-liu-r02-003,3,split
VF-08-liu-r02-004,10,split
VF-08-liu-r02-005,7,split
VF-08-liu-r02-006,6,split
VF-08-liu-r02-007,8,split
VF-08-liu-r02-008,1,single
VF-08-liu-r02-009,3,split
VF-08-liu-r02-010,9,split
VF-08-liu-r03-001,7,split
VF-08-liu-r03-002,21,split
VF-08-liu-r03-003,7,split
VF-08-liu-r03-004,17,split
VF-08-liu-r03-005,16,split
VF-08-liu-r03-006,4,split
VF-08-liu-r03-007,11,split
VF-08-liu-r03-008,10,split
VF-08-liu-r03-009,7,split
VF-08-liu-r03-010,26,split
VF-08-liu-r03-011,31,split
VF-08-liu-r03-012,3,split
VF-09-deboer-r01-001,6,split
VF-09-deboer-r01-002,5,split
VF-09-deboer-r01-003,5,split
VF-09-deboer-r01-004,6,split
VF-09-deboer-r01-005,6,split
VF-09-deboer-r01-006,12,split
VF-09-deboer-r01-007,12,split
VF-09-deboer-r01-008,14,split
VF-09-deboer-r01-009,6,split
VF-09-deboer-r01-010,8,split
VF-09-deboer-r01-011,10,split
VF-09-deboer-r01-012,8,split
VF-09-deboer-r01-013,14,split
VF-09-deboer-r02-001,7,split
VF-09-deboer-r02-002,24,split
VF-09-deboer-r02-003,4,split
VF-09-deboer-r02-004,10,split
VF-09-deboer-r02-005,15,split
VF-09-deboer-r02-006,16,split
VF-09-deboer-r02-007,3,split
VF-09-deboer-r02-008,23,split
VF-09-deboer-r02-009,3,split
VF-09-deboer-r02-010,3,split
VF-09-deboer-r02-011,3,split
VF-09-deboer-r02-012,7,split
VF-09-deboer-r03-001,1,single
VF-09-deboer-r03-002,4,split
VF-09-deboer-r03-003,11,split
VF-09-deboer-r03-004,4,split
VF-09-deboer-r03-005,23,split
VF-09-deboer-r03-006,7,split
VF-09-deboer-r03-007,14,split
VF-09-deboer-r03-008,3,split
VF-09-deboer-r03-009,3,split
VF-09-deboer-r03-010,4,split
VF-09-deboer-r03-011,14,split
VF-09-deboer-r03-012,14,split
VF-09-deboer-r03-013,20,split
VF-09-deboer-r03-014,14,split
VF-09-deboer-r03-015,7,split
VF-09-deboer-r03-016,14,split
VF-09-deboer-r03-017,4,split
VF-09-deboer-r03-018,4,split
VF-09-deboer-r03-019,4,split
VF-09-deboer-r03-020,1,single
VF-09-deboer-r03-021,3,split
VF-09-deboer-r03-022,3,split
VF-09-deboer-r03-023,6,split
VF-10-sorce-r01-001,8,split
VF-10-sorce-r01-002,7,split
VF-10-sorce-r01-003,8,split
VF-10-sorce-r01-004,1,single
VF-10-sorce-r01-005,6,split
VF-10-sorce-r01-006,3,split
VF-10-sorce-r01-007,11,split
VF-10-sorce-r01-008,9,split
VF-10-sorce-r01-009,10,split
VF-10-sorce-r01-010,10,split
VF-10-sorce-r02-001,19,split
VF-10-sorce-r02-002,6,split
VF-10-sorce-r02-003,19,split
VF-10-sorce-r02-004,4,split
VF-10-sorce-r02-005,3,split
VF-10-sorce-r02-006,5,split
VF-10-sorce-r02-007,5,split
VF-10-sorce-r02-008,5,split
VF-10-sorce-r02-009,6,split
VF-10-sorce-r02-010,3,split
VF-10-sorce-r02-011,12,split
VF-10-sorce-r02-012,4,split
VF-10-sorce-r02-013,5,split
VF-10-sorce-r02-014,4,split
VF-10-sorce-r02-015,4,split
VF-10-sorce-r02-016,12,split
VF-10-sorce-r02-017,4,split
VF-10-sorce-r02-018,6,split
VF-10-sorce-r02-019,4,split
VF-10-sorce-r02-020,10,split
VF-10-sorce-r02-021,3,split
VF-10-sorce-r02-022,6,split
VF-10-sorce-r02-023,6,split
VF-10-sorce-r02-024,9,split
VF-10-sorce-r02-025,3,split
VF-10-sorce-r02-026,12,split
VF-10-sorce-r02-027,5,split
VF-10-sorce-r02-028,4,split
VF-10-sorce-r02-029,3,split
VF-10-sorce-r02-030,2,split
VF-10-sorce-r02-031,4,split
VF-10-sorce-r03-001,6,split
VF-10-sorce-r03-002,7,split
VF-10-sorce-r03-003,25,split
VF-10-sorce-r03-004,1,single
VF-10-sorce-r03-005,9,split
VF-10-sorce-r03-006,11,split
VF-10-sorce-r03-007,3,split
VF-10-sorce-r03-008,15,split
VF-10-sorce-r03-009,4,split
VF-10-sorce-r03-010,33,split
VF-10-sorce-r03-011,7,split
VF-10-sorce-r03-012,54,split
VF-10-sorce-r03-013,8,split
VF-10-sorce-r03-014,1,single
VF-10-sorce-r03-015,1,single
VF-10-sorce-r03-016,8,split
VF-10-sorce-r03-017,6,split
VF-10-sorce-r03-018,1,single
VF-10-sorce-r03-019,6,split
VF-10-sorce-r03-020,3,split
VF-10-sorce-r03-021,1,single
VF-11-fadel-r01-001,1,single
VF-11-fadel-r01-002,1,single
VF-11-fadel-r01-003,1,single
VF-11-fadel-r01-004,7,split
VF-11-fadel-r01-005,1,single
VF-11-fadel-r01-006,1,single
VF-11-fadel-r01-007,10,split
VF-11-fadel-r01-008,1,single
VF-11-fadel-r01-009,1,single
VF-11-fadel-r01-010,1,single
VF-11-fadel-r01-011,1,single
VF-11-fadel-r01-012,3,split
VF-11-fadel-r01-013,1,single
VF-11-fadel-r01-014,1,single
VF-11-fadel-r01-015,1,single
VF-11-fadel-r01-016,1,single
VF-11-fadel-r01-017,1,single
VF-11-fadel-r01-018,1,single
VF-11-fadel-r01-019,13,split
VF-11-fadel-r01-020,9,split
VF-11-fadel-r02-001,7,split
VF-11-fadel-r02-002,6,split
VF-11-fadel-r02-003,11,split
VF-11-fadel-r02-004,6,split
VF-11-fadel-r02-005,8,split
VF-11-fadel-r02-006,6,split
VF-11-fadel-r02-007,1,single
VF-11-fadel-r02-008,1,single
VF-11-fadel-r02-009,8,split
VF-11-fadel-r02-010,14,split
VF-11-fadel-r02-011,1,single
VF-11-fadel-r02-012,20,split
VF-11-fadel-r02-013,12,split
VF-11-fadel-r02-014,1,single
VF-11-fadel-r02-015,9,split
VF-11-fadel-r02-016,1,single
VF-11-fadel-r02-017,7,split
VF-11-fadel-r02-018,7,split
VF-11-fadel-r02-019,1,single
VF-11-fadel-r02-020,3,split
VF-11-fadel-r02-021,1,single
VF-11-fadel-r02-022,5,split
VF-11-fadel-r02-023,7,split
VF-11-fadel-r02-024,7,split
VF-11-fadel-r02-025,7,split
VF-11-fadel-r02-026,1,single
VF-11-fadel-r02-027,1,single
VF-11-fadel-r02-028,1,single
VF-11-fadel-r02-029,3,split
VF-11-fadel-r02-030,3,split
VF-11-fadel-r02-031,7,split
VF-11-fadel-r02-032,2,split
VF-11-fadel-r02-033,1,single
VF-11-fadel-r02-034,3,split
VF-11-fadel-r02-035,6,split
VF-11-fadel-r02-036,4,split
VF-11-fadel-r02-037,4,split
VF-11-fadel-r03-001,26,split
VF-11-fadel-r03-002,8,split
VF-11-fadel-r03-003,3,split
VF-11-fadel-r03-004,10,split
VF-11-fadel-r03-005,12,split
VF-11-fadel-r03-006,6,split
VF-11-fadel-r03-007,8,split
VF-11-fadel-r03-008,7,split
VF-11-fadel-r03-009,8,split
VF-11-fadel-r03-010,7,split
VF-11-fadel-r03-011,5,split
VF-11-fadel-r03-012,7,split
VF-11-fadel-r03-013,8,split
VF-11-fadel-r03-014,6,split
VF-11-fadel-r03-015,6,split
VF-12-rangamani-r01-001,10,split
VF-12-rangamani-r01-002,14,split
VF-12-rangamani-r01-003,2,split
VF-12-rangamani-r01-004,1,single
VF-12-rangamani-r01-005,1,single
VF-12-rangamani-r01-006,1,single
VF-12-rangamani-r01-007,3,split
VF-12-rangamani-r01-008,1,single
VF-12-rangamani-r01-009,1,single
VF-12-rangamani-r01-010,1,single
VF-12-rangamani-r01-011,1,single
VF-12-rangamani-r01-012,1,single
VF-12-rangamani-r01-013,1,single
VF-12-rangamani-r01-014,1,single
VF-12-rangamani-r01-015,3,split
VF-12-rangamani-r01-016,1,single
VF-12-rangamani-r01-017,5,split
VF-12-rangamani-r01-018,1,single
VF-12-rangamani-r01-019,2,split
VF-12-rangamani-r01-020,9,split
VF-12-rangamani-r01-021,1,single
VF-12-rangamani-r02-001,24,split
VF-12-rangamani-r02-002,4,split
VF-12-rangamani-r02-003,9,split
VF-12-rangamani-r02-004,1,single
VF-12-rangamani-r02-005,7,split
VF-12-rangamani-r02-006,8,split
VF-12-rangamani-r02-007,25,split
VF-12-rangamani-r02-008,2,split
VF-12-rangamani-r02-009,3,split
VF-12-rangamani-r02-010,3,split
VF-12-rangamani-r02-011,2,split
VF-12-rangamani-r02-012,3,split
VF-12-rangamani-r02-013,7,split
VF-12-rangamani-r02-014,3,split
VF-12-rangamani-r02-015,10,split
VF-12-rangamani-r02-016,8,split
VF-12-rangamani-r02-017,17,split
VF-12-rangamani-r02-018,9,split
VF-12-rangamani-r02-019,17,split
VF-12-rangamani-r02-020,3,split
VF-12-rangamani-r02-021,2,split
VF-12-rangamani-r02-022,4,split
VF-12-rangamani-r02-023,4,split
VF-12-rangamani-r03-001,4,split
VF-12-rangamani-r03-002,11,split
VF-12-rangamani-r03-003,8,split
VF-12-rangamani-r03-004,12,split
VF-12-rangamani-r03-005,9,split
VF-12-rangamani-r03-006,4,split
VF-12-rangamani-r03-007,9,split
VF-12-rangamani-r03-008,11,split
VF-12-rangamani-r03-009,5,split
VF-12-rangamani-r03-010,5,split
VF-13-usatyuk-r01-001,1,single
VF-13-usatyuk-r01-002,10,split
VF-13-usatyuk-r01-003,10,split
VF-13-usatyuk-r01-004,1,single
VF-13-usatyuk-r01-005,1,single
VF-13-usatyuk-r01-006,1,single
VF-13-usatyuk-r01-007,1,single
VF-13-usatyuk-r01-008,1,single
VF-13-usatyuk-r01-009,1,single
VF-13-usatyuk-r01-010,1,single
VF-13-usatyuk-r01-011,1,single
VF-13-usatyuk-r01-012,1,single
VF-13-usatyuk-r01-013,1,single
VF-13-usatyuk-r01-014,1,single
VF-13-usatyuk-r01-015,1,single
VF-13-usatyuk-r01-016,1,single
VF-13-usatyuk-r01-017,1,single
VF-13-usatyuk-r01-018,1,single
VF-13-usatyuk-r01-019,1,single
VF-13-usatyuk-r01-020,1,single
VF-13-usatyuk-r01-021,1,single
VF-13-usatyuk-r02-001,22,split
VF-13-usatyuk-r02-002,1,single
VF-13-usatyuk-r02-003,22,split
VF-13-usatyuk-r02-004,12,split
VF-13-usatyuk-r02-005,1,single
VF-13-usatyuk-r02-006,7,split
VF-13-usatyuk-r02-007,4,split
VF-13-usatyuk-r02-008,11,split
VF-13-usatyuk-r02-009,11,split
VF-13-usatyuk-r02-010,12,split
VF-13-usatyuk-r02-011,11,split
VF-13-usatyuk-r03-001,8,split
VF-13-usatyuk-r03-002,7,split
VF-13-usatyuk-r03-003,5,split
VF-13-usatyuk-r03-004,3,split
VF-13-usatyuk-r03-005,5,split
VF-13-usatyuk-r03-006,1,single
VF-13-usatyuk-r03-007,7,split
VF-13-usatyuk-r03-008,4,split
VF-13-usatyuk-r03-009,3,split
VF-13-usatyuk-r03-010,3,split
VF-13-usatyuk-r03-011,1,single
VF-13-usatyuk-r03-012,1,single
VF-13-usatyuk-r03-013,9,split
VF-13-usatyuk-r03-014,3,split
VF-13-usatyuk-r03-015,30,split
VF-13-usatyuk-r03-016,7,split
VF-13-usatyuk-r03-017,4,split
VF-13-usatyuk-r03-018,6,split
VF-13-usatyuk-r03-019,23,split
VF-13-usatyuk-r03-020,3,split
VF-13-usatyuk-r03-021,1,single
VF-13-usatyuk-r03-022,18,split
VF-13-usatyuk-r03-023,4,split
